title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
The Kingdom,1994,A,"no major studio; budget $3.0M in today's money, tmdb (< $35M)",high,,3000000,,3000000.0,False,tmdb: $1500000,tmdb,Denmark; Sweden,True,DR; SVT,tmdb,,,,,https://www.themoviedb.org/movie/22137,no budget text
Happy End,2017,A,"no major studio; budget $17.7M in today's money, tmdb (< $35M)",high,,17680000,,17680000.0,False,tmdb: $13600000,tmdb,France; Germany; Austria,True,Les Films du Losange; X-Filme Creative Pool; Wega Film,wikipedia:studio,,Les Films du Losange; X-Verleih (through Warner Bros. Pictures; Warner Bros. ); Filmladen,https://en.wikipedia.org/wiki/Happy_End_(2017_film),https://www.wikidata.org/wiki/Q22000321,https://www.themoviedb.org/movie/399031,no budget text
Yella,2007,A,"no major studio; budget $4.8M in today's money, tmdb (< $35M)",high,,4800000,,4800000.0,False,tmdb: $3000000,tmdb,Germany,True,Schramm Film Koerner & Weber,wikipedia:studio,,Piffl Medien,https://en.wikipedia.org/wiki/Yella_(film),https://www.wikidata.org/wiki/Q1372318,https://www.themoviedb.org/movie/3037,no budget text
The City Below,2010,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany; France,True,Westdeutscher Rundfunk; WDR; Arte,wikipedia:studio,,Piffl Medien,https://en.wikipedia.org/wiki/The_City_Below,https://www.wikidata.org/wiki/Q974460,https://www.themoviedb.org/movie/78400,no budget text
Swallow,2019,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States; France,False,Charades; Logical Pictures; Stand Alone Productions; Syncopated Films,wikipedia:studio,,IFC Films (United States); UFO Distribution (France),https://en.wikipedia.org/wiki/Swallow_(2019_film),https://www.wikidata.org/wiki/Q55634470,https://www.themoviedb.org/movie/586461,no budget text
A Hero,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Iran; France,True,Memento Films,wikipedia:studio,,Khaneh Film (Iran); Memento Films (France),https://en.wikipedia.org/wiki/A_Hero,https://www.wikidata.org/wiki/Q105012394,https://www.themoviedb.org/movie/672208,no budget text
Wet Hot American Summer,2001,A,"no major studio; budget $5.4M in today's money, avg of 2 sources (< $35M)",high,,5440000,2880000.0,8000000.0,False,"wikipedia: $1.8&nbsp;million<ref name=""EW 2011""/><ref name=""QandAGoldsm | tmdb: $5000000",wikipedia+tmdb,United States,False,Eureka Pictures; North Coast Group,wikipedia:studio,,Focus Features; USA Films,https://en.wikipedia.org/wiki/Wet_Hot_American_Summer,https://www.wikidata.org/wiki/Q2294292,https://www.themoviedb.org/movie/2171,no budget text
Wheel of Fortune and Fantasy,2021,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Japan,True,Neopa; Fictive,wikipedia:studio,,Reel Pictures (Denmark); Incline (Japan),https://en.wikipedia.org/wiki/Wheel_of_Fortune_and_Fantasy,https://www.wikidata.org/wiki/Q105481082,https://www.themoviedb.org/movie/795811,no budget text
Saint Maud,2019,A,"no major studio; budget $3.2M in today's money, wikipedia (< $35M)",high,,3250000,3250000.0,,False,wikipedia: $2.5 million<ref>{{cite web | url=https://www.screendaily.co,wikipedia,United Kingdom,True,Film4 Productions; Film4; British Film Institute; BFI; Escape Plan Productions,wikipedia:studio,,StudioCanal UK; StudioCanal,https://en.wikipedia.org/wiki/Saint_Maud,https://www.wikidata.org/wiki/Q68681279,https://www.themoviedb.org/movie/575776,no budget text
Crash,1996,A,"no major studio; budget $19.0M in today's money, avg of 2 sources (< $35M)",high,,19000000,20000000.0,18000000.0,False,wikipedia: $8–10 million{{sfn|Mathijs|2008|p=188}}<ref>{{cite web |titl | tmdb: $9000000,wikipedia+tmdb,Canada; United Kingdom,True,Alliance Films; Alliance Communications; The Movie Network; Telefilm Canada; Recorded Picture Company (uncredited),wikipedia:studio,,Alliance Releasing,https://en.wikipedia.org/wiki/Crash_(1996_film),https://www.wikidata.org/wiki/Q839133,https://www.themoviedb.org/movie/884,no budget text
"Good Night, and Good Luck.",2005,A,"no major studio; budget $11.2M in today's money, avg of 2 sources (< $35M)",high,,11200000,11200000.0,11200000.0,False,wikipedia: $7 million<ref name=Numbers>{{cite web|url = https://www.the | tmdb: $7000000,wikipedia+tmdb,United States; France,False,2929 Entertainment; Participant Productions; Section Eight Productions; Davis Films; Lionsgate UK; Redbus Pictures; Tohokushinsha,wikipedia:studio,,Warner Independent Pictures (United States); Redbus Film Distribution (United Kingdom); Metropolitan Filmexport (France); Tohokushinsha (Japan),"https://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck",https://www.wikidata.org/wiki/Q319061,https://www.themoviedb.org/movie/3291,no budget text
Catch-22,2019,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Marcel the Shell with Shoes On,2021,A,"no major studio; budget $6.9M in today's money, avg of 2 sources (< $35M)",high,,6900000,6899999.999999999,6899999.999999999,False,wikipedia: $6 million<ref>{{Cite web |date=2022-03-02 |title=Dean Fleis | tmdb: $6000000,wikipedia+tmdb,United States,False,Cinereach; You Want I Should; Human Woman; Sunbeam Television & Films; Chiodo Bros. Productions,wikipedia:studio,,A24; (United States and Canada); Universal Pictures International; Focus Features (international),https://en.wikipedia.org/wiki/Marcel_the_Shell_with_Shoes_On_(2021_film),https://www.wikidata.org/wiki/Q109447163,https://www.themoviedb.org/movie/869626,no budget text
Midnight Cowboy,1969,H,"US film before 1980, major as distributor and so its financier: United Artists (Amazon MGM)",medium,,25500000,24000000.0,27000000.0,False,"wikipedia: $3.2 million<ref name=""tino"">{{cite book |first=Tino |last=B | tmdb: $3600000",wikipedia+tmdb,United States,False,Jerome Hellman Productions; Mist Entertainment,wikipedia:studio,Amazon MGM,United Artists,https://en.wikipedia.org/wiki/Midnight_Cowboy,https://www.wikidata.org/wiki/Q61696,https://www.themoviedb.org/movie/3116,
The Whale,2022,A,"no major studio; budget $3.4M in today's money, avg of 2 sources (< $35M)",high,,3450000,3449999.9999999995,3449999.9999999995,False,wikipedia: $3 million<ref>{{cite web |url=https://midhudsonnews.com/202 | tmdb: $3000000,wikipedia+tmdb,United States,False,A24; Protozoa Pictures,wikipedia:studio,,A24,https://en.wikipedia.org/wiki/The_Whale_(2022_film),https://www.wikidata.org/wiki/Q105883400,https://www.themoviedb.org/movie/785084,no budget text
Russian Ark,2002,A,"no major studio; budget $4.0M in today's money, wikipedia (< $35M)",high,,4000000,4000000.0,,False,"wikipedia: ~$2.5 million<ref>{{cite journal |title=Что такое ""Русский к",wikipedia,Russia; Germany; France; Japan; Canada; Finland; Denmark,True,Seville Pictures,wikipedia:studio,,Wellspring Media,https://en.wikipedia.org/wiki/Russian_Ark,https://www.wikidata.org/wiki/Q59721,https://www.themoviedb.org/movie/16646,no budget text
The Beguiled,2017,A,"no major studio; budget $13.3M in today's money, avg of 2 sources (< $35M)",high,,13325000,13000000.0,13650000.0,False,wikipedia: $10 million<ref>{{cite web | first=Anne | last=Thompson | ti | tmdb: $10500000,wikipedia+tmdb,United States,False,American Zoetrope,wikipedia:studio,,Focus Features (United States); Universal Pictures (International),https://en.wikipedia.org/wiki/The_Beguiled_(2017_film),https://www.wikidata.org/wiki/Q27684970,https://www.themoviedb.org/movie/399019,no budget text
DAHMER - Monster: The Jeffrey Dahmer Story,2022,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
The Red Shoes,1948,A,"no major studio; budget $5.7M in today's money, avg of 2 sources (< $35M)",high,,5710560,6421120.0,5000000.0,False,"wikipedia: > [[Pound sterling|£]]505,600{{efn|name=budget}}{{sfn|Harper | tmdb: $500000",wikipedia+tmdb,United Kingdom,True,Powell and Pressburger; The Archers,wikipedia:studio,,General Film Distributors,https://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film),https://www.wikidata.org/wiki/Q625780,https://www.themoviedb.org/movie/19542,no budget text
A Bigger Splash,2015,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Italy; France,True,StudioCanal; Frenesy Film Company; Cota Film,wikipedia:studio,,Lucky Red; StudioCanal; Fox Searchlight Pictures,https://en.wikipedia.org/wiki/A_Bigger_Splash_(2015_film),https://www.wikidata.org/wiki/Q18202448,https://www.themoviedb.org/movie/324807,no budget text
The Souvenir,2019,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United Kingdom; United States,False,JWH Films; BBC Films; British Film Institute; BFI; Sikelia Productions; Protagonist Pictures,wikipedia:studio,,A24 (United States and Canada); Curzon Film; Curzon (United Kingdom and Ireland),https://en.wikipedia.org/wiki/The_Souvenir,https://www.wikidata.org/wiki/Q59551553,https://www.themoviedb.org/movie/473019,no budget text
Through the Olive Trees,1994,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Iran,True,Abbas Kiarostami Productions; Ciby 2000; CiBy 2000; Farabi Cinema Foundation,wikipedia:studio,,Miramax,https://en.wikipedia.org/wiki/Through_the_Olive_Trees,https://www.wikidata.org/wiki/Q2485167,https://www.themoviedb.org/movie/47104,no budget text
The 400 Blows,1959,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Les Films du Carrosse,wikipedia:studio,,Cocinor,https://en.wikipedia.org/wiki/The_400_Blows,https://www.wikidata.org/wiki/Q162331,https://www.themoviedb.org/movie/147,no budget text
The Sting,1973,H,major studio: Universal Pictures (Universal),high,Universal,30250000,30250000.0,30250000.0,False,"wikipedia: $5.5 million<ref name=""Num"">{{cite web | title= The Sting |  | tmdb: $5500000",wikipedia+tmdb,United States,False,Universal Pictures; The Zanuck/Brown Company,wikipedia:studio,,Universal Pictures,https://en.wikipedia.org/wiki/The_Sting,https://www.wikidata.org/wiki/Q62665,https://www.themoviedb.org/movie/9277,
Blazing Saddles,1974,H,"US film before 1980, major as distributor and so its financier: Warner Bros Pictures (Warner), Warner Bros (Warner)",medium,,14300000,14300000.0,14300000.0,False,wikipedia: $2.6 million | tmdb: $2600000,wikipedia+tmdb,United States,False,Crossbow Productions,wikipedia:studio,Warner,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/Blazing_Saddles,https://www.wikidata.org/wiki/Q957323,https://www.themoviedb.org/movie/11072,
Under the Skin,2013,A,"no major studio; budget $17.3M in today's money, wikipedia (< $35M)",high,,17290000,17290000.0,,False,"wikipedia: [[Pound sterling|£]]8&nbsp;million<ref name=""SD"">{{cite web|",wikipedia,United Kingdom; Switzerland,True,British Film Institute; BFI; Film4 Productions; Film4; Silver Reel; Creative Scotland; JW Films; FilmNation Entertainment,wikipedia:studio,,BiM Distribuzione,https://en.wikipedia.org/wiki/Under_the_Skin_(2013_film),https://www.wikidata.org/wiki/Q4366287,https://www.themoviedb.org/movie/698232,no budget text
Spring,2014,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,XYZ Films,wikipedia:studio,,Drafthouse Films; FilmBuff,https://en.wikipedia.org/wiki/Spring_(2014_film),https://www.wikidata.org/wiki/Q18578674,https://www.themoviedb.org/movie/241855,no budget text
Yi Yi,2000,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Taiwan; Japan,True,1+2 Seisaku Iinkai; Edward Yang; Atom Films; Pony Canyon; Omega Project,wikipedia:studio,,Fran Rubel Kuzui; Kuzui Enterprises (Japan),https://en.wikipedia.org/wiki/Yi_Yi,https://www.wikidata.org/wiki/Q704513,https://www.themoviedb.org/movie/25538,no budget text
Bicycle Thieves,1948,A,"no major studio; budget $1.3M in today's money, avg of 2 sources (< $35M)",high,,1330000,1330000.0,1330000.0,False,"wikipedia: $133,000<ref>{{cite web | url = https://www.villagevoice.com | tmdb: $133000",wikipedia+tmdb,Italy,True,Produzioni De Sica,wikipedia:studio,,Ente Nazionale Industrie Cinematografiche,https://en.wikipedia.org/wiki/Bicycle_Thieves,https://www.wikidata.org/wiki/Q172837,https://www.themoviedb.org/movie/5156,no budget text
Cinema Paradiso,1988,A,"no major studio; budget $15.0M in today's money, avg of 2 sources (< $35M)",high,,15000000,15000000.0,15000000.0,False,wikipedia: US$5 million<ref>{{cite news|url=https://news.google.com/new | tmdb: $5000000,wikipedia+tmdb,France; Italy,True,Cristaldi Film; Les Films Ariane; RAI; TF1; Forum Picture,wikipedia:studio,,Titanus (Italy); Ariane Distribution (France),https://en.wikipedia.org/wiki/Cinema_Paradiso,https://www.wikidata.org/wiki/Q464032,https://www.themoviedb.org/movie/11216,no budget text
Distant,2002,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Turkey,True,Nuri Bilge Ceylan; NBC Film,wikipedia:studio,,,https://en.wikipedia.org/wiki/Uzak,https://www.wikidata.org/wiki/Q1361018,https://www.themoviedb.org/movie/31026,no budget text
Lord of War,2005,H,"no major studio, but budget $88.0M in today's money, avg of 2 sources (> $35M)",high,,88000000,96000000.0,80000000.0,False,"wikipedia: $42–60 million<ref name="":13"" /><ref name="":15"" /> | tmdb: $50000000",wikipedia+tmdb,Germany; United States,False,Entertainment Manufacturing Company; Saturn Films; Ascendant Pictures; VIP 3 Medienfonds,wikipedia:studio,,Lions Gate Films (United States); Metro-Goldwyn-Mayer (Germany; through 20th Century Fox),https://en.wikipedia.org/wiki/Lord_of_War,https://www.wikidata.org/wiki/Q308681,https://www.themoviedb.org/movie/1830,no budget text
Doubt,2008,A,"no major studio; budget $32.0M in today's money, avg of 2 sources (< $35M)",medium,,32000000,32000000.0,32000000.0,False,wikipedia: $20 million | tmdb: $20000000,wikipedia+tmdb,United States,False,Miramax Films; Scott Rudin Productions,wikipedia:studio,,Miramax Films,https://en.wikipedia.org/wiki/Doubt_(2008_film),https://www.wikidata.org/wiki/Q640450,https://www.themoviedb.org/movie/14359,no budget text
"Spring, Summer, Fall, Winter... and Spring",2003,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,South Korea; Germany,True,LJ Film; Pandora Film,wikipedia:studio,,Cineclick Asia (South Korea); Bavaria Film (Germany),"https://en.wikipedia.org/wiki/Spring,_Summer,_Fall,_Winter..._and_Spring",https://www.wikidata.org/wiki/Q494871,https://www.themoviedb.org/movie/113,no budget text
Peppermint Candy,1999,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,South Korea,True,NHK,wikidata:P272,,Shindo Films; Cineclick Asia,https://en.wikipedia.org/wiki/Peppermint_Candy,https://www.wikidata.org/wiki/Q448464,https://www.themoviedb.org/movie/41245,no budget text
"Right Now, Wrong Then",2015,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,South Korea,True,Jeonwonsa Films,wikipedia:studio,,Next Entertainment World,"https://en.wikipedia.org/wiki/Right_Now,_Wrong_Then",https://www.wikidata.org/wiki/Q20652078,https://www.themoviedb.org/movie/354275,no budget text
New World,2013,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,South Korea,True,Next Entertainment World; KTH,wikidata:P272,,Next Entertainment World,https://en.wikipedia.org/wiki/New_World_(2013_film),https://www.wikidata.org/wiki/Q6408823,https://www.themoviedb.org/movie/165213,no budget text
Return to Seoul,2022,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Belgium; Germany; Cambodia; Qatar; South Korea; Romania,True,Aurora Films; Vandertastic Films; Frakas Productions; VOO; BeTV (Belgium); BeTV,wikipedia:studio,,"Les Films du Losange (France); Rapid Eye Movies (Germany); Imagine Film Distribution (Belgium); Sony Pictures Classics (North and Latin America, Middle East, Australia and New Zealand); Westec Media Limited (Cambodia)",https://en.wikipedia.org/wiki/Return_to_Seoul,https://www.wikidata.org/wiki/Q112762598,https://www.themoviedb.org/movie/952701,no budget text
Infinity Pool,2023,A,"no major studio; budget $5.2M in today's money, tmdb (< $35M)",high,,5175000,,5175000.0,False,tmdb: $4500000,tmdb,Canada; Hungary; France,True,Film Forge; Elevation Pictures; 4film; Hero Squared; Telefilm Canada; Eurimages; The Croatian Audiovisual Centre; Celluloid Dreams,wikipedia:studio,,Elevation Pictures (Canada); Blitz (Croatia); Pannonia Entertainment (Hungary),https://en.wikipedia.org/wiki/Infinity_Pool_(film),https://www.wikidata.org/wiki/Q109312634,https://www.themoviedb.org/movie/667216,no budget text
Thelma & Louise,1991,H,"major studio: Metro-Goldwyn-Mayer (Amazon MGM), MGM-Pathé Communications (Amazon MGM)",high,Amazon MGM,32500000,33000000.0,32000000.0,False,wikipedia: $16.5&nbsp;million<ref name=BOM/> | tmdb: $16000000,wikipedia+tmdb,United States; United Kingdom; France,False,Metro-Goldwyn-Mayer; MGM-Pathé Communications; Pathé Entertainment; Scott Free Productions; Percy Main Productions; Star Partners III Ltd,wikipedia:studio,,MGM-Pathé Communications,https://en.wikipedia.org/wiki/Thelma_&_Louise,https://www.wikidata.org/wiki/Q658041,https://www.themoviedb.org/movie/1541,
Rumble Fish,1983,A,"no major studio; budget $30.0M in today's money, avg of 2 sources (< $35M)",medium,,30000000,30000000.0,30000000.0,False,wikipedia: $10 million | tmdb: $10000000,wikipedia+tmdb,United States,False,American Zoetrope; Zoetrope Studios,wikipedia:studio,,Universal Pictures,https://en.wikipedia.org/wiki/Rumble_Fish,https://www.wikidata.org/wiki/Q845102,https://www.themoviedb.org/movie/232,no budget text
A Most Wanted Man,2014,A,"no major studio; budget $19.5M in today's money, avg of 2 sources (< $35M)",high,,19500000,19500000.0,19500000.0,False,wikipedia: $15 million<ref>{{Cite web |title=A Most Wanted Man (2014) - | tmdb: $15000000,wikipedia+tmdb,United Kingdom; Germany; United States,False,Film4 Productions; Demarest Films; Senator Film; Potboiler Productions; The Ink Factory,wikipedia:studio,,Entertainment One Films (United Kingdom); Roadside Attractions; Lionsgate Films; Lionsgate (United States); Senator Film (Germany),https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),https://www.wikidata.org/wiki/Q2819825,https://www.themoviedb.org/movie/157849,no budget text
Master and Commander: The Far Side of the World,2003,H,"major studio: 20th Century Fox (Disney/Fox), Universal Pictures (Universal)",high,Disney/Fox; Universal,240000000,240000000.0,240000000.0,False,"wikipedia: $150 million<ref name=""boxoffmo""/> | tmdb: $150000000",wikipedia+tmdb,United States,False,20th Century Fox; Miramax; Miramax Films; Universal Pictures; Samuel Goldwyn Films,wikipedia:studio,,20th Century Fox,https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World,https://www.wikidata.org/wiki/Q1125384,https://www.themoviedb.org/movie/8619,
The Turin Horse,2011,A,"no major studio; budget $1.4M in today's money, avg of 2 sources (< $35M)",high,,1432600,1565200.0,1300000.0,False,wikipedia: 430 million [[Hungarian forint|HUF]]<ref>{{cite web |last1=K | tmdb: $1000000,wikipedia+tmdb,Hungary; France; Germany; Switzerland; United States,False,T. T. Filmműhely,wikipedia:studio,,Másképp Alapítvány; Cirko Film,https://en.wikipedia.org/wiki/The_Turin_Horse,https://www.wikidata.org/wiki/Q1336326,https://www.themoviedb.org/movie/81401,no budget text
Werckmeister Harmonies,2000,A,"no major studio; budget $2.6M in today's money, wikipedia (< $35M)",high,,2560000,2560000.0,,False,wikipedia: $1.6 million,wikipedia,Hungary; Germany; France; Italy; Switzerland,True,Goëss Film; Von Vietinghoff Filmproduktion; 13 Productions,wikidata:P272,,,https://en.wikipedia.org/wiki/Werckmeister_Harmonies,https://www.wikidata.org/wiki/Q509169,https://www.themoviedb.org/movie/23160,no budget text
Possessor,2020,A,"no major studio; budget $2.9M in today's money, tmdb (< $35M)",high,,2875000,,2875000.0,False,tmdb: $2500000,tmdb,Canada; United Kingdom,True,Ingenious Media; Telefilm Canada; Arclight Films; Ontario Creates; Particular Crowd; Crave (streaming service); Crave; Rhombus Media; Rook Films,wikipedia:studio,,Elevation Pictures (Canada); Signature Entertainment (United Kingdom),https://en.wikipedia.org/wiki/Possessor_(film),https://www.wikidata.org/wiki/Q60849823,https://www.themoviedb.org/movie/435615,no budget text
Code 46,2003,H,major studio: United Artists (Amazon MGM),high,Amazon MGM,12000000,12000000.0,12000000.0,False,wikipedia: $7.5 million | tmdb: $7500000,wikipedia+tmdb,United Kingdom,True,United Artists; UK Film Council; BBC Films; Revolution Films,wikipedia:studio,,Verve Pictures (United Kingdom); MGM Distribution Co. (United States),https://en.wikipedia.org/wiki/Code_46,https://www.wikidata.org/wiki/Q1105584,https://www.themoviedb.org/movie/2577,
Serial Mom,1994,A,"no major studio; budget $26.0M in today's money, avg of 2 sources (< $35M)",high,,26000000,26000000.0,26000000.0,False,"wikipedia: $13 million<ref name=""mojo""/> | tmdb: $13000000",wikipedia+tmdb,United States,False,Polar Entertainment Corporation,wikipedia:studio,,Savoy Pictures,https://en.wikipedia.org/wiki/Serial_Mom,https://www.wikidata.org/wiki/Q610670,https://www.themoviedb.org/movie/11592,no budget text
The Sea Inside,2004,A,"no major studio; budget $18.9M in today's money, avg of 2 sources (< $35M)",high,,18884800,17280000.0,20489600.0,False,wikipedia: €10 million | tmdb: $12806000,wikipedia+tmdb,Spain; Italy; France,True,PRISA TV; Sogepaq; UGC (cinema operator); UGC Images; Eyescreen,wikipedia:studio,,Warner Sogefilms (Spain); UGC Fox Distribution (France); Lucky Red (Italy),https://en.wikipedia.org/wiki/The_Sea_Inside,https://www.wikidata.org/wiki/Q593615,https://www.themoviedb.org/movie/1913,no budget text
Devs,2020,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Her Smell,2018,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Bow and Arrow Entertainment; Faliro House Productions,wikipedia:studio,,Gunpowder & Sky,https://en.wikipedia.org/wiki/Her_Smell,https://www.wikidata.org/wiki/Q52715587,https://www.themoviedb.org/movie/520679,no budget text
High-Rise,2015,A,"no major studio; budget $10.4M in today's money, wikipedia (< $35M)",high,,10400000,10400000.0,,False,"wikipedia: £6.1 million (approximately US$8 million)<ref name=""wsj""/>",wikipedia,United Kingdom,True,Recorded Picture Company; HanWay Films; Film4 Productions; Film4; British Film Institute; BFI; Northern Ireland Screen; Ingenious Media; Scope Pictures; S Films,wikipedia:studio,,StudioCanal UK; StudioCanal,https://en.wikipedia.org/wiki/High-Rise_(film),https://www.wikidata.org/wiki/Q16994014,https://www.themoviedb.org/movie/254302,no budget text
Mother,2009,A,"no major studio; budget $8.0M in today's money, avg of 2 sources (< $35M)",high,,8000000,8000000.0,8000000.0,False,wikipedia: {{USD|5 million}} | tmdb: $5000000,wikipedia+tmdb,South Korea,True,CJ Entertainment; Barunson,wikipedia:studio,,CJ Entertainment,https://en.wikipedia.org/wiki/Mother_(2009_film),https://www.wikidata.org/wiki/Q483761,https://www.themoviedb.org/movie/30018,no budget text
Waltz with Bashir,2008,A,"no major studio; budget $2.2M in today's money, avg of 2 sources (< $35M)",high,,2240000,2080000.0,2400000.0,False,wikipedia: $1.3 million<ref>[http://www.iht.com/articles/2008/05/19/art | tmdb: $1500000,wikipedia+tmdb,Israel; France; Germany; United Kingdom,True,Bridgit Folman Film Gang; Les Films d Ici; Razor Film Produktion,wikipedia:studio,,Le Pacte (France); Pandora Film (Germany); Sony Pictures Classics (United States); Future Film (Finland); Frenetic Films (Switzerland); Cinéart (Belgium); Madman Entertainment (Australia),https://en.wikipedia.org/wiki/Waltz_with_Bashir,https://www.wikidata.org/wiki/Q160793,https://www.themoviedb.org/movie/8885,no budget text
Running on Empty,1988,H,major studio: Warner Bros Entertainment (Warner),high,Warner,21000000,21000000.0,,False,wikipedia: $7 million<ref name=AFI_Catalog>{{Cite web |title=Running on,wikipedia,United States,False,Warner Bros. Entertainment,wikidata:P272,,Warner Bros. Pictures,https://en.wikipedia.org/wiki/Running_on_Empty_(1988_film),https://www.wikidata.org/wiki/Q544780,https://www.themoviedb.org/movie/18197,
Fail Safe,1964,H,major studio: Columbia Pictures (Sony),high,Sony,,,,False,,,United States,False,Columbia Pictures,wikipedia:studio,,Columbia Pictures,https://en.wikipedia.org/wiki/Fail_Safe_(1964_film),https://www.wikidata.org/wiki/Q543505,https://www.themoviedb.org/movie/502,
Prince of the City,1981,A,"no major studio; budget $25.8M in today's money, avg of 2 sources (< $35M)",high,,25800000,25800000.0,25800000.0,False,wikipedia: $8.6 million | tmdb: $8600000,wikipedia+tmdb,United States,False,Orion Pictures,wikipedia:studio,,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/Prince_of_the_City,https://www.wikidata.org/wiki/Q1709419,https://www.themoviedb.org/movie/32047,no budget text
Far from Heaven,2002,A,"no major studio; budget $21.6M in today's money, avg of 2 sources (< $35M)",high,,21600000,21600000.0,21600000.0,False,"wikipedia: $13.5 million<ref name=""mojo""/> | tmdb: $13500000",wikipedia+tmdb,United States,False,Vulcan Productions; Killer Films; John Wells Productions; Section Eight Productions; Section Eight,wikipedia:studio,,Focus Features (U.S.); ARP Sélection (France),https://en.wikipedia.org/wiki/Far_from_Heaven,https://www.wikidata.org/wiki/Q1130664,https://www.themoviedb.org/movie/10712,no budget text
The Taking of Pelham One Two Three,1974,H,"US film before 1980, major as distributor and so its financier: United Artists (Amazon MGM)",medium,,20900000,20900000.0,,False,"wikipedia: $3.8 million<ref name=""haun"">Haun, Harry (April 7, 1974). ""M",wikipedia,United States,False,Palomar Pictures; Palladium Productions,wikipedia:studio,Amazon MGM,United Artists,https://en.wikipedia.org/wiki/The_Taking_of_Pelham_One_Two_Three_(1974_film),https://www.wikidata.org/wiki/Q633171,https://www.themoviedb.org/movie/8333,
Shiva Baby,2020,A,"no major studio; budget $0.3M in today's money, avg of 2 sources (< $35M)",high,,258750,229999.99999999997,287500.0,False,"wikipedia: $200,000<!--cited in body--> | tmdb: $250000",wikipedia+tmdb,United States; Canada,False,Dimbo Pictures; It Doesn t Suck Productions; Bad Mensch Productions; Thick Media; Neon Heart Productions; 7 Sennotts; Irving Harvey,wikipedia:studio,,Utopia (company); Utopia,https://en.wikipedia.org/wiki/Shiva_Baby,https://www.wikidata.org/wiki/Q98078759,https://www.themoviedb.org/movie/664300,no budget text
Dope,2015,A,"no major studio; budget $9.1M in today's money, avg of 2 sources (< $35M)",high,,9100000,9100000.0,9100000.0,False,"wikipedia: $7 million<ref name=""BOM""/> | tmdb: $7000000",wikipedia+tmdb,United States,False,Significant Productions; i am OTHER; Revolt (TV network); Revolt Films,wikipedia:studio,,Open Road Films (North America); Sony Pictures Entertainment Motion Picture Group#Sony Pictures Releasing; Sony Pictures Releasing International; Stage 6 Films (International),https://en.wikipedia.org/wiki/Dope_(2015_film),https://www.wikidata.org/wiki/Q18890297,https://www.themoviedb.org/movie/308639,no budget text
Something Wild,1986,A,"no major studio; budget $21.0M in today's money, avg of 2 sources (< $35M)",high,,21000000,21000000.0,21000000.0,False,wikipedia: $7 million<ref>{{Cite web|url=http://catalog.afi.com/Film/57 | tmdb: $7000000,wikipedia+tmdb,United States,False,Orion Pictures; Religioso Primitiva Productions,wikipedia:studio,,Orion Pictures,https://en.wikipedia.org/wiki/Something_Wild_(1986_film),https://www.wikidata.org/wiki/Q644485,https://www.themoviedb.org/movie/11300,no budget text
Election,1999,H,"no major studio, but budget $50.0M in today's money, avg of 2 sources (> $35M)",high,,50000000,50000000.0,50000000.0,False,"wikipedia: $8.5–25 million<ref name=""numbers"" /><ref name =""BOM"">{{mojo | tmdb: $25000000",wikipedia+tmdb,United States,False,MTV Productions; Bona Fide Productions,wikipedia:studio,,Paramount Pictures,https://en.wikipedia.org/wiki/Election_(1999_film),https://www.wikidata.org/wiki/Q1206261,https://www.themoviedb.org/movie/9451,no budget text
